Average,CL Appearances,Compression Ratio,Average,CL Appearances,Compression Ratio,Average,CL Appearances,Compression Ratio,Average,CL Appearances,Compression Ratio,CLs Processed
2to10 Buffer,2to10 Buffer,2to10 Buffer,11to100 Buffer,11to100 Buffer,11to100 Buffer,101to1000 Buffer,101to1000 Buffer,101to1000 Buffer,1001+ Buffer,1001+ Buffer,1001+ Buffer,
2.5565610859728505,221,0.20114984174553133,17.666666666666668,3,0.13039038202664438,180.0,1,4.511906419718702,0.0,0,0.0,7181
2.557017543859649,228,0.2037645199658523,18.333333333333332,3,0.13782577000182247,181.0,1,4.477993439037726,0.0,0,0.0,7316
2.560344827586207,232,0.20499323730775132,18.333333333333332,3,0.13591229725479623,184.0,1,4.5634182504380645,0.0,0,0.0,7419
2.5446808510638297,235,0.20179275280946427,17.0,4,0.15329531892321974,186.0,1,4.587720461477257,0.0,0,0.0,7541
2.575,240,0.20753129890453836,17.0,4,0.1507563901930099,187.0,1,4.56038080333855,0.0,0,0.0,7668
2.5846774193548385,248,0.21224420007769043,17.0,4,0.14809121188829105,191.0,1,4.673456315654625,0.0,0,0.0,7806
2.51864406779661,295,0.1993132966634233,15.857142857142858,7,0.18746861829192216,216.0,1,4.969219299179891,0.0,0,0.0,9389
2.4639769452449567,347,0.1823825026564313,20.0,12,0.41554843736473035,248.0,1,5.324560644100078,0.0,0,0.0,11551
2.3514056224899598,498,0.1687501369084846,21.785714285714285,14,0.4072220908955603,316.0,1,6.119752405466691,0.0,0,0.0,16317
2.3618290258449304,503,0.17030973491373458,21.928571428571427,14,0.40862345545198353,320.0,1,6.215477996965099,0.0,0,0.0,16475
2.3536121673003803,526,0.16874800852017552,22.285714285714285,14,0.40268389744268585,322.0,1,6.004748943070597,0.0,0,0.0,17267
2.326699834162521,603,0.18004301292427427,22.428571428571427,14,0.388427082266363,328.0,1,5.933704704649496,0.0,0,0.0,18131
2.327272727272727,605,0.17868906096629947,22.785714285714285,14,0.39637053425361857,338.0,1,6.22990511506162,0.0,0,0.0,18338
2.328407224958949,609,0.1783246797187032,22.928571428571427,14,0.3975193858261641,344.0,1,6.391358358088037,0.0,0,0.0,18515
2.3264,625,0.18074195030724016,23.214285714285715,14,0.40313346818823714,347.0,1,6.433823136521506,0.0,0,0.0,18715
2.3234375,640,0.18313111218594297,23.357142857142858,14,0.4048439369387106,351.0,1,6.5303190925474395,0.0,0,0.0,18866
2.31969696969697,660,0.18646729290171485,23.642857142857142,14,0.41088867553742064,352.0,1,6.505512968602331,0.0,0,0.0,19046
2.3227752639517347,663,0.18644187983350732,23.785714285714285,14,0.4128345073044333,356.0,1,6.605649953090795,0.0,0,0.0,19186
2.348148148148148,675,0.1919945738877903,24.071428571428573,14,0.4184715722760603,357.0,1,6.574619551199381,0.0,0,0.0,19385
2.369661266568483,679,0.19516712622382726,24.214285714285715,14,0.42018032643032643,361.0,1,6.670812858312859,0.0,0,0.0,19536
2.373529411764706,680,0.1948266526261626,24.5,14,0.427376290494838,363.0,1,6.70136805167065,0.0,0,0.0,19663
2.3801169590643276,684,0.19538273544557913,24.642857142857142,14,0.42869028410073184,369.0,1,6.865722065348931,0.0,0,0.0,19832
2.3994169096209914,686,0.19774886006589987,24.928571428571427,14,0.4356134302308946,371.0,1,6.8916983777288205,0.0,0,0.0,19972
2.4055232558139537,688,0.1980568622641706,25.071428571428573,14,0.4377927182016531,374.0,1,6.9586587731953635,0.0,0,0.0,20101
2.42463768115942,690,0.20038624910239144,25.357142857142858,14,0.4446863466030585,375.0,1,6.946845823247543,0.0,0,0.0,20243
2.443001443001443,693,0.2026954885077894,25.5,14,0.4461406518010292,378.0,1,7.0024013722126925,0.0,0,0.0,20405
2.485064011379801,703,0.21048224706101584,25.785714285714285,14,0.451306257012647,382.0,1,7.074760011635799,0.0,0,0.0,20626
2.477272727272727,704,0.20813005281643876,24.933333333333334,15,0.4492276070270097,386.0,1,7.177762790249543,0.0,0,0.0,20758
2.482269503546099,705,0.208104418473013,25.2,15,0.4563380281690141,387.0,1,7.174906582351251,0.0,0,0.0,20874
2.4922206506364923,707,0.20897981185083042,25.333333333333332,15,0.4581290946874157,392.0,1,7.312806357968876,0.0,0,0.0,21013
2.515492957746479,710,0.2120084197317357,25.666666666666668,15,0.466314315825901,392.0,1,7.251380302958803,0.0,0,0.0,21191
2.5133991537376588,709,0.20999987302890605,24.11764705882353,17,0.46362693614580114,394.0,1,7.278507126781696,0.0,0,0.0,21328
2.4858757062146895,708,0.20395027237263907,22.35,20,0.4657118217415626,395.0,1,7.273214618683572,0.0,0,0.0,21452
2.5063469675599435,709,0.20632718249578524,22.55,20,0.4711410173260447,398.0,1,7.338274807745761,0.0,0,0.0,21586
2.507735583684951,711,0.2059744124613169,22.65,20,0.47265754560530676,401.0,1,7.407453473373871,0.0,0,0.0,21708
2.4985955056179776,712,0.20346049363731322,22.285714285714285,21,0.47739800822603945,402.0,1,7.397079690575365,0.0,0,0.0,21847
2.525801952580195,717,0.207316322340588,22.523809523809526,21,0.48285722918609075,407.0,1,7.507659535895576,0.0,0,0.0,22064
2.5424200278164117,719,0.20932053374987167,22.857142857142858,21,0.4941417183006158,409.0,1,7.5341620501734,0.0,0,0.0,22203
2.5463347164591976,723,0.2098859284979352,22.952380952380953,21,0.49532337672028737,412.0,1,7.599910454443698,0.0,0,0.0,22335
2.547586206896552,725,0.20937046027133271,23.285714285714285,21,0.506661666179331,413.0,1,7.589614665836077,0.0,0,0.0,22474
2.5482093663911844,726,0.20861082077279808,23.38095238095238,21,0.5080116655919824,417.0,1,7.694884503053368,0.0,0,0.0,22598
2.5535714285714284,728,0.2086816109422492,23.714285714285715,21,0.5191539601597629,419.0,1,7.717645507297345,0.0,0,0.0,22748
2.5761316872427984,729,0.21139453415371734,23.904761904761905,21,0.5243463460714182,422.0,1,7.781351044306563,0.0,0,0.0,22886
2.5691489361702127,752,0.21346044573521053,23.5,22,0.5224917214983013,425.0,1,7.767814905603578,0.0,0,0.0,23253
2.580901856763926,754,0.21467067076690885,23.681818181818183,22,0.5273648176067394,429.0,1,7.8663446743033,0.0,0,0.0,23396
2.5963060686015833,758,0.2169191400130722,23.863636363636363,22,0.5318789679859516,430.0,1,7.849713436637656,0.0,0,0.0,23555
2.5796344647519582,766,0.21485174720125896,23.47826086956522,23,0.5343840197920008,435.0,1,7.975763962065332,0.0,0,0.0,23725
2.6046814044213265,769,0.21821887456315528,23.782608695652176,23,0.5441311258374494,437.0,1,7.987661033963527,0.0,0,0.0,23908
2.598179453836151,769,0.21604638541554144,23.5,24,0.5516064591310138,440.0,1,8.057266522390544,0.0,0,0.0,24028
2.6194805194805193,770,0.21853382172280297,23.708333333333332,24,0.5579700403965201,442.0,1,8.080572444885636,0.0,0,0.0,24177
2.618556701030928,776,0.21852672456753236,23.833333333333332,24,0.5598861007296672,445.0,1,8.132777526797815,0.0,0,0.0,24349
