Average,CL Appearances,Average,CL Appearances,Average,CL Appearances,Average,CL Appearances,CLs Processed,Compression Ratio
2to10 Buffer,2to10 Buffer,11to100 Buffer,11to100 Buffer,101to1000 Buffer,101to1000 Buffer,1001+ Buffer,1001+ Buffer,,
2.83570979240931,9538,35.47802197802198,546,200.27777777777777,36,7569.333333333333,3,108808,0.29843393868097934
2.8406403683164174,9557,35.64770642201835,545,198.7027027027027,37,7616.0,3,109424,0.2983623336745138
2.8431495405179614,9576,35.8348623853211,545,197.1315789473684,38,7661.666666666667,3,110032,0.2980950996073869
2.8436359845720838,9593,35.887867647058826,544,193.4,40,7705.0,3,110616,0.2979948651189701
2.842527060782681,9608,36.10091743119266,545,194.375,40,7746.0,3,111100,0.29793879387938793
2.8409419541417065,9682,36.02508960573477,558,196.15,40,7894.666666666667,3,113016,0.29976286543498265
2.8430544105523494,9704,36.280858676207515,559,197.1,40,7946.666666666667,3,113644,0.2996198655450354
2.843550709730508,9722,36.35,560,195.7560975609756,41,7989.333333333333,3,114192,0.2994693148381673
2.846138044371405,9736,36.587188612099645,562,196.90243902439025,41,8052.666666666667,3,114888,0.29929148387995264
2.846051282051282,9750,36.862989323843415,562,198.0487804878049,41,8093.333333333333,3,115388,0.2991818906645405
2.9065203236908195,10751,34.66187050359712,695,204.54901960784315,51,9521.0,3,139952,0.32596175831713725
2.908263695450325,10770,34.86494252873563,696,205.3921568627451,51,9559.0,3,140516,0.32577073073528995
2.9078106179931438,10793,34.96978417266187,695,204.15384615384616,52,9598.666666666666,3,141008,0.3255701804152956
2.9088722360995467,10809,35.09798270893372,694,203.20754716981133,53,9639.0,3,141556,0.32544717285032077
2.9091749052942806,10823,35.11271676300578,692,200.27272727272728,55,9676.666666666666,3,142036,0.3253189332281957
2.910155889678074,10841,35.13913043478261,690,197.68421052631578,57,9721.666666666666,3,142592,0.3251514811490126
2.9044063421828907,10848,30.027565084226648,653,153.5,106,9780.333333333334,3,143272,0.32487157295214697
2.9011686758074906,10867,28.534992223950233,643,148.25833333333333,120,9828.333333333334,3,143840,0.3245898220244716
2.8908823258809457,10869,27.93134328358209,670,148.87603305785123,121,9899.0,3,144744,0.3240065218592826
2.8897565457050987,10885,26.830303030303032,660,145.78787878787878,132,9939.333333333334,3,145256,0.3237800848157736
2.888379345134367,10903,26.85972850678733,663,146.75757575757575,132,9995.0,3,145856,0.3235999890302764
2.8913799414348462,10928,26.95933734939759,664,147.71969696969697,132,10038.0,3,146480,0.32338203167667945
2.890837672421668,10947,27.05421686746988,664,148.62878787878788,132,10076.333333333334,3,146964,0.323249231104216
2.8907946355259555,10961,27.200301204819276,664,149.52272727272728,132,10117.333333333334,3,147496,0.32312740684493135
2.8910963273489476,10973,27.182503770739064,663,150.08270676691728,133,10154.666666666666,3,147972,0.32304084556537727
2.8776192991723897,11358,27.876770538243626,706,148.48888888888888,135,8548.0,4,159244,0.330568184672578
2.8765822784810124,11376,27.847025495750707,706,149.05882352941177,136,8577.5,4,159756,0.33044142317033476
2.8755703755703754,11396,27.828611898016998,706,149.5912408759124,137,8609.75,4,160284,0.3302513039355145
2.874737026647966,11408,27.734177215189874,711,150.20289855072463,138,8645.0,4,160932,0.33001516168319533
2.8721489119986017,11443,27.62256267409471,718,150.83453237410072,139,8745.0,4,161976,0.3292524818491629
2.8715756412493456,11462,27.632311977715876,718,151.45,140,8784.25,4,162580,0.3289826546930742
2.8726036946671316,11476,27.716666666666665,720,152.39285714285714,140,8821.25,4,163184,0.32872095303461124
2.8717591787019314,11494,27.657894736842106,722,152.96453900709218,141,8855.0,4,163740,0.32841700256504214
2.872599287390284,11507,27.76869806094183,722,153.89361702127658,141,8886.5,4,164284,0.3283034257748777
2.873947391266603,11519,27.854771784232366,723,154.85106382978722,141,8919.0,4,164840,0.3281121087114778
2.873070920756026,11534,27.922758620689656,725,155.82269503546098,141,8959.25,4,165436,0.3278971928721681
2.8731175350527955,11554,27.881542699724516,726,156.3661971830986,142,8994.25,4,166036,0.32774217639548053
