Average,CL Appearances,Average,CL Appearances,Average,CL Appearances,Average,CL Appearances,CLs Processed
2to10 Buffer,2to10 Buffer,11to100 Buffer,11to100 Buffer,101to1000 Buffer,101to1000 Buffer,1001+ Buffer,1001+ Buffer,
2.3851851851851853,810,20.490909090909092,55,503.0,1,,0,27508
2.3790123456790124,810,20.517857142857142,56,504.0,1,,0,27654
2.3793103448275863,812,20.607142857142858,56,509.0,1,,0,27775
2.380778588807786,822,20.964285714285715,56,525.0,1,,0,28254
2.380894800483676,827,21.089285714285715,56,528.0,1,,0,28411
2.3891566265060242,830,21.214285714285715,56,529.0,1,,0,28548
2.3971119133574006,831,21.535714285714285,56,533.0,1,,0,28722
2.3978365384615383,832,21.857142857142858,56,534.0,1,,0,28847
2.4362850971922247,926,21.428571428571427,63,652.0,1,,0,34988
2.4385775862068964,928,21.571428571428573,63,653.0,1,,0,35129
2.4391819160387516,929,21.666666666666668,63,657.0,1,,0,35252
2.4414607948442537,931,21.77777777777778,63,658.0,1,,0,35389
